card_number,set,set_card_number,player,team,notes,parallel
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Purple Mini-Diamonds /199
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Purple Sparkle /199
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Blue /150
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Blue Mini-Diamonds /150
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Blue Sparkle /150
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Green /99
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Green Mini-Diamonds /99
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Green Sparkle /99
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black & White /75
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black & White Mini-Diamonds /75
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black & White Sparkle /75
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Gold /50
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Gold Mini-Diamonds /50
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Gold Sparkle /50
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Netbuster /38
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Orange /25
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Orange Mini-Diamonds /25
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Orange Sparkle /25
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black /10
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black Mini-Diamonds /10
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Black Sparkle /10
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Red /5
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Red Mini-Diamonds /5
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,Red Sparkle /5
2,Future Stars,2,Jamaldeen Jimoh-Aloba,Aston Villa,,FoilFractor 1/1
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Base
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Blue Voltage
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Gold Rainbow Laser
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Green Voltage
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Pink Voltage
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,PL
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Purple Voltage
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Yellow Voltage
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Aqua Sparkle /499
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Pink Mini-Diamonds /399
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Pink Sparkle /399
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Yellow Mini-Diamonds /299
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Yellow Sparkle /299
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Purple Mini-Diamonds /199
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Purple Sparkle /199
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Blue /150
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Blue Mini-Diamonds /150
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Blue Sparkle /150
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Green /99
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Green Mini-Diamonds /99
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Green Sparkle /99
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black & White /75
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black & White Mini-Diamonds /75
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black & White Sparkle /75
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Gold /50
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Gold Mini-Diamonds /50
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Gold Sparkle /50
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Netbuster /38
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Orange /25
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Orange Mini-Diamonds /25
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Orange Sparkle /25
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black /10
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black Mini-Diamonds /10
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Black Sparkle /10
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Red /5
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Red Mini-Diamonds /5
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,Red Sparkle /5
3,Future Stars,3,Veljko Milosavljević,AFC Bournemouth,,FoilFractor 1/1
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Base
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Blue Voltage
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Gold Rainbow Laser
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Green Voltage
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Pink Voltage
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,PL
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Purple Voltage
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Yellow Voltage
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Aqua Sparkle /499
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Pink Mini-Diamonds /399
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Pink Sparkle /399
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Yellow Mini-Diamonds /299
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Yellow Sparkle /299
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Purple Mini-Diamonds /199
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Purple Sparkle /199
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Blue /150
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Blue Mini-Diamonds /150
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Blue Sparkle /150
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Green /99
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Green Mini-Diamonds /99
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Green Sparkle /99
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black & White /75
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black & White Mini-Diamonds /75
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black & White Sparkle /75
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Gold /50
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Gold Mini-Diamonds /50
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Gold Sparkle /50
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Netbuster /38
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Orange /25
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Orange Mini-Diamonds /25
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Orange Sparkle /25
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black /10
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black Mini-Diamonds /10
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Black Sparkle /10
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Red /5
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Red Mini-Diamonds /5
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,Red Sparkle /5
4,Future Stars,4,Junior Kroupi,AFC Bournemouth,,FoilFractor 1/1
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Base
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Blue Voltage
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Gold Rainbow Laser
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Green Voltage
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Pink Voltage
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,PL
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Purple Voltage
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Yellow Voltage
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Aqua Sparkle /499
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Pink Mini-Diamonds /399
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Pink Sparkle /399
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Yellow Sparkle /299
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Purple Mini-Diamonds /199
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Purple Sparkle /199
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Blue /150
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Blue Mini-Diamonds /150
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Blue Sparkle /150
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Green /99
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Green Mini-Diamonds /99
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Green Sparkle /99
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black & White /75
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black & White Sparkle /75
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Gold /50
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Gold Mini-Diamonds /50
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Gold Sparkle /50
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Netbuster /38
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Orange /25
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Orange Mini-Diamonds /25
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Orange Sparkle /25
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black /10
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black Mini-Diamonds /10
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Black Sparkle /10
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Red /5
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Red Mini-Diamonds /5
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,Red Sparkle /5
5,Future Stars,5,Yasin Ayari,Brighton & Hove Albion,,FoilFractor 1/1
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Base
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Blue Voltage
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Gold Rainbow Laser
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Green Voltage
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Pink Voltage
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,PL
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Purple Voltage
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Yellow Voltage
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Aqua Sparkle /499
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Pink Mini-Diamonds /399
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Pink Sparkle /399
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Yellow Mini-Diamonds /299
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Yellow Sparkle /299
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Purple Mini-Diamonds /199
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Purple Sparkle /199
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Blue /150
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Blue Mini-Diamonds /150
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Blue Sparkle /150
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Green /99
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Green Mini-Diamonds /99
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Green Sparkle /99
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black & White /75
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black & White Mini-Diamonds /75
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black & White Sparkle /75
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Gold /50
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Gold Mini-Diamonds /50
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Gold Sparkle /50
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Netbuster /38
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Orange /25
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Orange Mini-Diamonds /25
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Orange Sparkle /25
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black /10
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black Mini-Diamonds /10
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Black Sparkle /10
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Red /5
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Red Mini-Diamonds /5
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,Red Sparkle /5
6,Future Stars,6,Stefanos Tzimas,Brighton & Hove Albion,,FoilFractor 1/1
7,Future Stars,7,Reggie Walsh,Chelsea,,Base
7,Future Stars,7,Reggie Walsh,Chelsea,,Blue Voltage
7,Future Stars,7,Reggie Walsh,Chelsea,,Gold Rainbow Laser
7,Future Stars,7,Reggie Walsh,Chelsea,,Green Voltage
7,Future Stars,7,Reggie Walsh,Chelsea,,Pink Voltage
7,Future Stars,7,Reggie Walsh,Chelsea,,PL
7,Future Stars,7,Reggie Walsh,Chelsea,,Purple Voltage
7,Future Stars,7,Reggie Walsh,Chelsea,,Yellow Voltage
7,Future Stars,7,Reggie Walsh,Chelsea,,Aqua Sparkle /499
7,Future Stars,7,Reggie Walsh,Chelsea,,Pink Mini-Diamonds /399
7,Future Stars,7,Reggie Walsh,Chelsea,,Pink Sparkle /399
7,Future Stars,7,Reggie Walsh,Chelsea,,Yellow Mini-Diamonds /299
7,Future Stars,7,Reggie Walsh,Chelsea,,Yellow Sparkle /299
7,Future Stars,7,Reggie Walsh,Chelsea,,Purple Mini-Diamonds /199
7,Future Stars,7,Reggie Walsh,Chelsea,,Purple Sparkle /199
7,Future Stars,7,Reggie Walsh,Chelsea,,Blue /150
7,Future Stars,7,Reggie Walsh,Chelsea,,Blue Mini-Diamonds /150
7,Future Stars,7,Reggie Walsh,Chelsea,,Blue Sparkle /150
7,Future Stars,7,Reggie Walsh,Chelsea,,Green /99
7,Future Stars,7,Reggie Walsh,Chelsea,,Green Mini-Diamonds /99
7,Future Stars,7,Reggie Walsh,Chelsea,,Green Sparkle /99
7,Future Stars,7,Reggie Walsh,Chelsea,,Black & White /75
7,Future Stars,7,Reggie Walsh,Chelsea,,Black & White Mini-Diamonds /75
7,Future Stars,7,Reggie Walsh,Chelsea,,Black & White Sparkle /75
7,Future Stars,7,Reggie Walsh,Chelsea,,Gold /50
7,Future Stars,7,Reggie Walsh,Chelsea,,Gold Mini-Diamonds /50
7,Future Stars,7,Reggie Walsh,Chelsea,,Gold Sparkle /50
7,Future Stars,7,Reggie Walsh,Chelsea,,Netbuster /38
7,Future Stars,7,Reggie Walsh,Chelsea,,Orange /25
7,Future Stars,7,Reggie Walsh,Chelsea,,Orange Mini-Diamonds /25
7,Future Stars,7,Reggie Walsh,Chelsea,,Orange Sparkle /25
7,Future Stars,7,Reggie Walsh,Chelsea,,Black /10
7,Future Stars,7,Reggie Walsh,Chelsea,,Black Mini-Diamonds /10
7,Future Stars,7,Reggie Walsh,Chelsea,,Black Sparkle /10
7,Future Stars,7,Reggie Walsh,Chelsea,,Red /5
7,Future Stars,7,Reggie Walsh,Chelsea,,Red Mini-Diamonds /5
7,Future Stars,7,Reggie Walsh,Chelsea,,Red Sparkle /5
7,Future Stars,7,Reggie Walsh,Chelsea,,FoilFractor 1/1
8,Future Stars,8,Estêvão Willian,Chelsea,,Base
8,Future Stars,8,Estêvão Willian,Chelsea,,Blue Voltage
8,Future Stars,8,Estêvão Willian,Chelsea,,Gold Rainbow Laser
8,Future Stars,8,Estêvão Willian,Chelsea,,Green Voltage
8,Future Stars,8,Estêvão Willian,Chelsea,,Pink Voltage
8,Future Stars,8,Estêvão Willian,Chelsea,,PL
8,Future Stars,8,Estêvão Willian,Chelsea,,Purple Voltage
8,Future Stars,8,Estêvão Willian,Chelsea,,Yellow Voltage
8,Future Stars,8,Estêvão Willian,Chelsea,,Aqua Sparkle /499
8,Future Stars,8,Estêvão Willian,Chelsea,,Pink Mini-Diamonds /399
8,Future Stars,8,Estêvão Willian,Chelsea,,Pink Sparkle /399
8,Future Stars,8,Estêvão Willian,Chelsea,,Yellow Mini-Diamonds /299
8,Future Stars,8,Estêvão Willian,Chelsea,,Yellow Sparkle /299
8,Future Stars,8,Estêvão Willian,Chelsea,,Purple Mini-Diamonds /199
8,Future Stars,8,Estêvão Willian,Chelsea,,Purple Sparkle /199
8,Future Stars,8,Estêvão Willian,Chelsea,,Blue /150
8,Future Stars,8,Estêvão Willian,Chelsea,,Blue Mini-Diamonds /150
8,Future Stars,8,Estêvão Willian,Chelsea,,Blue Sparkle /150
8,Future Stars,8,Estêvão Willian,Chelsea,,Green /99
8,Future Stars,8,Estêvão Willian,Chelsea,,Green Mini-Diamonds /99
8,Future Stars,8,Estêvão Willian,Chelsea,,Green Sparkle /99
8,Future Stars,8,Estêvão Willian,Chelsea,,Black & White /75
8,Future Stars,8,Estêvão Willian,Chelsea,,Black & White Mini-Diamonds /75
8,Future Stars,8,Estêvão Willian,Chelsea,,Black & White Sparkle /75
8,Future Stars,8,Estêvão Willian,Chelsea,,Gold /50
8,Future Stars,8,Estêvão Willian,Chelsea,,Gold Mini-Diamonds /50
8,Future Stars,8,Estêvão Willian,Chelsea,,Gold Sparkle /50
8,Future Stars,8,Estêvão Willian,Chelsea,,Netbuster /38
8,Future Stars,8,Estêvão Willian,Chelsea,,Orange /25
8,Future Stars,8,Estêvão Willian,Chelsea,,Orange Mini-Diamonds /25
8,Future Stars,8,Estêvão Willian,Chelsea,,Orange Sparkle /25
8,Future Stars,8,Estêvão Willian,Chelsea,,Black /10
8,Future Stars,8,Estêvão Willian,Chelsea,,Black Mini-Diamonds /10
8,Future Stars,8,Estêvão Willian,Chelsea,,Black Sparkle /10
8,Future Stars,8,Estêvão Willian,Chelsea,,Red /5
8,Future Stars,8,Estêvão Willian,Chelsea,,Red Mini-Diamonds /5
8,Future Stars,8,Estêvão Willian,Chelsea,,Red Sparkle /5
8,Future Stars,8,Estêvão Willian,Chelsea,,FoilFractor 1/1
9,Future Stars,9,Dastan Satpayev,Chelsea,,Base
9,Future Stars,9,Dastan Satpayev,Chelsea,,Blue Voltage
9,Future Stars,9,Dastan Satpayev,Chelsea,,Gold Rainbow Laser
9,Future Stars,9,Dastan Satpayev,Chelsea,,Green Voltage
9,Future Stars,9,Dastan Satpayev,Chelsea,,Pink Voltage
9,Future Stars,9,Dastan Satpayev,Chelsea,,PL
9,Future Stars,9,Dastan Satpayev,Chelsea,,Purple Voltage
9,Future Stars,9,Dastan Satpayev,Chelsea,,Yellow Voltage
9,Future Stars,9,Dastan Satpayev,Chelsea,,Aqua Sparkle /499
9,Future Stars,9,Dastan Satpayev,Chelsea,,Pink Mini-Diamonds /399
9,Future Stars,9,Dastan Satpayev,Chelsea,,Pink Sparkle /399
9,Future Stars,9,Dastan Satpayev,Chelsea,,Yellow Mini-Diamonds /299
9,Future Stars,9,Dastan Satpayev,Chelsea,,Yellow Sparkle /299
9,Future Stars,9,Dastan Satpayev,Chelsea,,Purple Mini-Diamonds /199
9,Future Stars,9,Dastan Satpayev,Chelsea,,Purple Sparkle /199
9,Future Stars,9,Dastan Satpayev,Chelsea,,Blue /150
9,Future Stars,9,Dastan Satpayev,Chelsea,,Blue Mini-Diamonds /150
9,Future Stars,9,Dastan Satpayev,Chelsea,,Blue Sparkle /150
9,Future Stars,9,Dastan Satpayev,Chelsea,,Green /99
9,Future Stars,9,Dastan Satpayev,Chelsea,,Green Mini-Diamonds /99
9,Future Stars,9,Dastan Satpayev,Chelsea,,Green Sparkle /99
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black & White /75
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black & White Mini-Diamonds /75
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black & White Sparkle /75
9,Future Stars,9,Dastan Satpayev,Chelsea,,Gold /50
9,Future Stars,9,Dastan Satpayev,Chelsea,,Gold Mini-Diamonds /50
9,Future Stars,9,Dastan Satpayev,Chelsea,,Gold Sparkle /50
9,Future Stars,9,Dastan Satpayev,Chelsea,,Netbuster /38
9,Future Stars,9,Dastan Satpayev,Chelsea,,Orange /25
9,Future Stars,9,Dastan Satpayev,Chelsea,,Orange Mini-Diamonds /25
9,Future Stars,9,Dastan Satpayev,Chelsea,,Orange Sparkle /25
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black /10
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black Mini-Diamonds /10
9,Future Stars,9,Dastan Satpayev,Chelsea,,Black Sparkle /10
9,Future Stars,9,Dastan Satpayev,Chelsea,,Red /5
9,Future Stars,9,Dastan Satpayev,Chelsea,,Red Mini-Diamonds /5
9,Future Stars,9,Dastan Satpayev,Chelsea,,Red Sparkle /5
9,Future Stars,9,Dastan Satpayev,Chelsea,,FoilFractor 1/1
10,Future Stars,10,Romain Esse,Crystal Palace,,Base
10,Future Stars,10,Romain Esse,Crystal Palace,,Blue Voltage
10,Future Stars,10,Romain Esse,Crystal Palace,,Gold Rainbow Laser
10,Future Stars,10,Romain Esse,Crystal Palace,,Green Voltage
10,Future Stars,10,Romain Esse,Crystal Palace,,Pink Voltage
10,Future Stars,10,Romain Esse,Crystal Palace,,PL
10,Future Stars,10,Romain Esse,Crystal Palace,,Purple Voltage
10,Future Stars,10,Romain Esse,Crystal Palace,,Yellow Voltage
10,Future Stars,10,Romain Esse,Crystal Palace,,Aqua Sparkle /499
